name,id,team,position_id,points_round_1,points_round_2,price_round_1,price_round_2,Man of the match,num_matches,Tackles,Dominant tackles,Line-breaks,Metres carried,Kick 50-22,Lineout steal,Breakdown steal,Try,Assists,Conversion,Penalty,Drop goal,Yellow cards,Red cards ,position,played_round_1,points_to_price_round_1,played_round_2,points_to_price_round_2,latest_price,total_points_to_latest_price_ratio,points_all_rounds,total_points_all_rounds,points_per_round_all_rounds
Thibaud Flament,385,France,11,61.0,50.0,14.2,14.9,0.0,2.0,41.0,2.0,1.0,95.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,second-row,True,4.295774647887324,True,3.3557046979865772,14.9,3.7248322147651005,111.0,111.0,55.5
James Ryan,152,Ireland,11,47.8,40.4,14.6,14.9,0.0,2.0,29.0,1.0,0.0,71.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,second-row,True,3.273972602739726,True,2.711409395973154,14.9,2.9597315436241605,88.19999999999999,88.19999999999999,44.099999999999994
Freddie Steward,365,England,6,22.2,19.0,15.5,14.8,0.0,2.0,5.0,0.0,0.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,back-three,True,1.432258064516129,True,1.2837837837837838,14.8,1.3918918918918919,41.2,41.2,20.6
Francois Cros,206,France,10,0.0,6.0,14.7,14.8,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,back-row,False,0.0,True,0.4054054054054054,14.8,0.4054054054054054,6.0,6.0,6.0
Cyril Baille,105,France,12,20.5,18.6,15.0,14.8,0.0,2.0,22.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,front-row,True,1.3666666666666667,True,1.2567567567567568,14.8,1.3209459459459458,39.1,39.1,19.55
Jamie Ritchie,241,Scotland,10,46.2,32.0,14.6,14.6,0.0,2.0,19.0,2.0,0.0,41.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,back-row,True,3.164383561643836,True,2.191780821917808,14.6,2.678082191780822,78.2,78.2,39.1
Blair Kinghorn,98,Scotland,6,8.2,62.7,13.1,14.5,0.0,2.0,5.0,0.0,2.0,144.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,back-three,True,0.6259541984732824,True,4.324137931034483,14.5,2.444827586206897,70.9,70.9,35.45
Jonny Gray,80,Scotland,11,12.8,12.0,14.3,14.5,0.0,2.0,6.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,second-row,True,0.8951048951048951,True,0.8275862068965517,14.5,0.8551724137931035,24.8,24.8,12.4
Melvyn Jaminet,386,France,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,back-three,False,,False,,0.0,,0.0,0.0,
Jamison Gibson-Park,283,Ireland,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scrum-half,False,,False,,0.0,,0.0,0.0,
