name,id,team,position_id,points_round_1,points_round_2,price_round_1,price_round_2,Man of the match,num_matches,Tackles,Dominant tackles,Line-breaks,Metres carried,Kick 50-22,Lineout steal,Breakdown steal,Try,Assists,Conversion,Penalty,Drop goal,Yellow cards,Red cards ,position,played_round_1,points_to_price_round_1,played_round_2,points_to_price_round_2,latest_price,total_points_to_latest_price_ratio,points_all_rounds,total_points_all_rounds,points_per_round_all_rounds
Tomas Francis,261,Wales,12,30.0,0.0,11.9,11.7,0.0,1.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,front-row,True,2.5210084033613445,False,0.0,11.7,2.5641025641025643,30.0,30.0,30.0
Wyn Jones,21,Wales,12,0.0,14.8,11.7,11.7,0.0,1.0,4.0,1.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,front-row,False,0.0,True,1.2649572649572651,11.7,1.2649572649572651,14.8,14.8,14.8
Lorenzo Cannone,710,Italy,11,28.2,17.8,11.4,11.6,0.0,2.0,19.0,1.0,0.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,second-row,True,2.4736842105263155,True,1.5344827586206897,11.6,1.9827586206896552,46.0,46.0,23.0
Sekou Macalou,198,France,10,12.9,11.6,11.4,11.6,0.0,2.0,11.0,0.0,0.0,23.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,back-row,True,1.131578947368421,True,1.0,11.6,1.0560344827586208,24.5,24.5,12.25
Niccolo Cannone,173,Italy,11,30.2,10.2,12.5,11.6,0.0,2.0,18.0,2.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,second-row,True,2.416,True,0.8793103448275862,11.6,1.7413793103448276,40.4,40.4,20.2
Danilo Fischetti,171,Italy,12,37.2,29.4,10.9,11.6,0.0,2.0,14.0,5.0,1.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,front-row,True,3.4128440366972477,True,2.5344827586206895,11.6,2.8706896551724137,66.6,66.6,33.3
Luca Morisi,34,Italy,7,32.6,15.4,11.5,11.6,0.0,2.0,21.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,centres,True,2.8347826086956522,True,1.3275862068965518,11.6,2.0689655172413794,48.0,48.0,24.0
Tomos Williams,27,Wales,9,9.8,13.6,11.7,11.6,0.0,2.0,10.0,1.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scrum-half,True,0.8376068376068377,True,1.1724137931034482,11.6,1.0086206896551724,23.4,23.4,11.7
Jimmy O'Brien,421,Ireland,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,back-three,False,,False,,0.0,,0.0,0.0,
Matthis Lebel,379,France,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,back-three,False,,False,,0.0,,0.0,0.0,
Jonny Hill,311,England,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,second-row,False,,False,,0.0,,0.0,0.0,
Kieran Hardy,265,Wales,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scrum-half,False,,False,,0.0,,0.0,0.0,
Ryan Baird,258,Ireland,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,second-row,False,,False,,0.0,,0.0,0.0,
Mohamed Haouas,214,France,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,front-row,False,,False,,0.0,,0.0,0.0,
Dylan Cretin,211,France,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,back-row,False,,False,,0.0,,0.0,0.0,
Keith Earls,70,Ireland,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,back-three,False,,False,,0.0,,0.0,0.0,
Federico Ruzza,45,Italy,11,45.0,31.4,11.1,11.5,0.0,2.0,17.0,3.0,2.0,87.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,second-row,True,4.054054054054054,True,2.7304347826086954,11.5,3.321739130434783,76.4,76.4,38.2
Edoardo Padovani,37,Italy,6,3.8,10.2,12.0,11.5,0.0,2.0,4.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,back-three,True,0.31666666666666665,True,0.8869565217391304,11.5,0.6086956521739131,14.0,14.0,7.0
Aaron Wainwright,28,Wales,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,back-row,False,,False,,0.0,,0.0,0.0,
Leigh Halfpenny,6,Wales,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,back-three,False,,False,,0.0,,0.0,0.0,
Ross Byrne,178,Ireland,8,5.4,15.2,11.1,11.4,0.0,2.0,3.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,fly-half,True,0.4864864864864865,True,1.3333333333333333,11.4,0.9035087719298246,20.6,20.6,10.3
Rob Herring,176,Ireland,13,5.5,9.9,11.2,11.3,0.0,2.0,10.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hooker,True,0.4910714285714286,True,0.8761061946902655,11.3,0.6814159292035398,15.4,15.4,7.7
Ollie Lawrence,314,England,7,2.0,61.6,9.3,11.2,1.0,2.0,8.0,0.0,1.0,93.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,centres,True,0.2150537634408602,True,5.500000000000001,11.2,2.8392857142857144,63.6,63.6,31.8
Scott Cummings,189,Scotland,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,second-row,False,,False,,0.0,,0.0,0.0,
Ben Curry,685,England,10,44.4,0.0,11.3,11.1,0.0,1.0,9.0,4.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,back-row,True,3.9292035398230083,False,0.0,11.1,4.0,44.4,44.4,44.4
Tommy Reffell,677,Wales,10,8.0,24.0,11.0,11.1,0.0,2.0,21.0,1.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,back-row,True,0.7272727272727273,True,2.1621621621621623,11.1,1.4414414414414416,32.0,32.0,16.0
Ben White,352,Scotland,9,49.1,14.5,11.2,11.1,0.0,2.0,13.0,1.0,1.0,44.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,scrum-half,True,4.383928571428572,True,1.3063063063063063,11.1,2.864864864864865,63.6,63.6,31.8
Luca Bigi,46,Italy,13,0.0,9.0,10.9,11.1,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hooker,False,0.0,True,0.8108108108108109,11.1,0.40540540540540543,9.0,9.0,4.5
Ollie Hassell-Collins,363,England,6,20.2,12.8,11.1,11.0,0.0,2.0,6.0,0.0,0.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,back-three,True,1.8198198198198199,True,1.1636363636363638,11.0,1.5,33.0,33.0,16.5
WP Nel,88,Scotland,12,17.4,2.6,11.0,10.9,0.0,2.0,12.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,front-row,True,1.5818181818181818,True,0.23853211009174313,10.9,0.9174311926605504,20.0,20.0,10.0
Rhys Webb,8,Wales,9,9.2,-3.0,11.2,10.8,0.0,2.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,scrum-half,True,0.8214285714285714,True,-0.27777777777777773,10.8,0.287037037037037,6.199999999999999,6.199999999999999,3.0999999999999996
Guy Porter,958,England,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,centres,False,,False,,0.0,,0.0,0.0,
Alessandro Garbisi,712,Italy,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scrum-half,False,,False,,0.0,,0.0,0.0,
Julien Delbouis,700,France,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,centres,False,,False,,0.0,,0.0,0.0,
Romain Buros,698,France,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,back-three,False,,False,,0.0,,0.0,0.0,
Ruaridh McConnochie,692,Scotland,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,back-three,False,,False,,0.0,,0.0,0.0,
Cadan Murley,686,England,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,back-three,False,,False,,0.0,,0.0,0.0,
Keiran Williams,675,Wales,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,centres,False,,False,,0.0,,0.0,0.0,
Joe McCarthy,434,Ireland,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,second-row,False,,False,,0.0,,0.0,0.0,
Ollie Smith,424,Scotland,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,centres,False,,False,,0.0,,0.0,0.0,
Pierre-Louis Barassi,415,France,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,centres,False,,False,,0.0,,0.0,0.0,
Ben Earl,233,England,10,17.4,10.7,10.5,10.6,0.0,2.0,8.0,1.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,back-row,True,1.657142857142857,True,1.0094339622641508,10.6,1.3254716981132075,28.099999999999998,28.099999999999998,14.049999999999999
Rory Sutherland,187,Scotland,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,front-row,False,,False,,0.0,,0.0,0.0,
Sean Maitland,77,Scotland,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,back-three,False,,False,,0.0,,0.0,0.0,
Jordan Larmour,75,Ireland,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,back-three,False,,False,,0.0,,0.0,0.0,
Ollie Chessum,369,England,11,20.4,45.4,9.3,10.4,0.0,2.0,14.0,1.0,0.0,109.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,second-row,True,2.193548387096774,True,4.365384615384615,10.4,3.1634615384615383,65.8,65.8,32.9
Fraser Brown,87,Scotland,13,5.6,15.5,10.0,10.4,0.0,2.0,6.0,0.0,0.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hooker,True,0.5599999999999999,True,1.4903846153846154,10.4,1.0144230769230769,21.1,21.1,10.55
Alessandro Fusco,396,Italy,6,0.0,24.6,9.0,10.3,0.0,2.0,1.0,1.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,back-three,False,0.0,True,2.3883495145631066,10.3,1.1941747572815533,24.6,24.6,12.3
David Ribbans,308,England,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,second-row,False,,False,,0.0,,0.0,0.0,
David Kilcoyne,63,Ireland,12,6.1,5.9,10.2,10.3,0.0,2.0,8.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,front-row,True,0.5980392156862745,True,0.5728155339805825,10.3,0.5825242718446602,12.0,12.0,6.0
Joe Hawkins,681,Wales,7,35.0,12.2,10.6,10.2,0.0,2.0,13.0,1.0,1.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,centres,True,3.30188679245283,True,1.196078431372549,10.2,2.3137254901960786,47.2,47.2,23.6
Sipili Falatea,430,France,12,5.9,17.0,9.9,10.2,0.0,2.0,9.0,1.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,front-row,True,0.595959595959596,True,1.6666666666666667,10.2,1.1225490196078431,22.9,22.9,11.45
Scott Baldwin,956,Wales,13,5.8,5.6,10.0,10.0,0.0,2.0,6.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hooker,True,0.58,True,0.5599999999999999,10.0,0.57,11.399999999999999,11.399999999999999,5.699999999999999
Juan Ignacio Brex,393,Italy,7,22.0,22.4,10.0,10.0,0.0,2.0,8.0,0.0,0.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,centres,True,2.2,True,2.2399999999999998,10.0,2.2199999999999998,44.4,44.4,22.2
Manuel Zuliani,398,Italy,11,3.2,42.2,8.0,9.9,0.0,2.0,9.0,2.0,0.0,77.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,second-row,True,0.4,True,4.262626262626263,9.9,2.2929292929292933,45.400000000000006,45.400000000000006,22.700000000000003
Gareth Thomas,333,Wales,12,29.2,0.0,10.1,9.9,0.0,1.0,11.0,2.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,front-row,True,2.891089108910891,False,0.0,9.9,2.9494949494949494,29.2,29.2,29.2
Jamie Blamire,359,England,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hooker,False,,False,,0.0,,0.0,0.0,
Giovanni Pettinelli,276,Italy,10,2.0,0.0,10.0,9.8,0.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,back-row,True,0.2,False,0.0,9.8,0.2040816326530612,2.0,2.0,2.0
Reda Wardi,697,France,12,9.9,15.2,9.3,9.7,0.0,2.0,13.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,front-row,True,1.064516129032258,True,1.5670103092783505,9.7,1.2938144329896908,25.1,25.1,12.55
Luke Crosbie,194,Scotland,10,45.6,23.9,9.1,9.7,0.0,2.0,28.0,4.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,back-row,True,5.010989010989011,True,2.463917525773196,9.7,3.582474226804124,69.5,69.5,34.75
Enrico Lucchin,707,Italy,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,centres,False,,False,,0.0,,0.0,0.0,
Nolann Le Garrec,702,France,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scrum-half,False,,False,,0.0,,0.0,0.0,
Thomas Jolmes,699,France,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,second-row,False,,False,,0.0,,0.0,0.0,
Bastien Chalureau,696,France,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,second-row,False,,False,,0.0,,0.0,0.0,
Stafford McDowall,693,Scotland,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,centres,False,,False,,0.0,,0.0,0.0,
Fin Smith,689,England,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fly-half,False,,False,,0.0,,0.0,0.0,
Mason Grady,680,Wales,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,centres,False,,False,,0.0,,0.0,0.0,
Teddy Williams,679,Wales,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,second-row,False,,False,,0.0,,0.0,0.0,
Alexandre Becognee,416,France,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,back-row,False,,False,,0.0,,0.0,0.0,
Thomas Lavault,407,France,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,second-row,False,,False,,0.0,,0.0,0.0,
Giacomo Nicotera,401,Italy,13,30.4,21.6,9.0,9.6,0.0,2.0,25.0,1.0,0.0,65.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hooker,True,3.3777777777777778,True,2.2500000000000004,9.6,2.7083333333333335,52.0,52.0,26.0
Dillon Lewis,23,Wales,12,6.4,12.4,9.8,9.6,0.0,2.0,13.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,front-row,True,0.6530612244897959,True,1.2916666666666667,9.6,0.9791666666666667,18.8,18.8,9.4
Jack Dempsey,690,Scotland,10,10.8,8.4,9.4,9.3,0.0,2.0,8.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,back-row,True,1.148936170212766,True,0.9032258064516129,9.3,1.032258064516129,19.200000000000003,19.200000000000003,9.600000000000001
Tommaso Menoncello,400,Italy,6,14.6,20.6,9.0,9.3,0.0,2.0,7.0,0.0,2.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,back-three,True,1.6222222222222222,True,2.21505376344086,9.3,1.89247311827957,35.2,35.2,17.6
Christ Tshiunza,341,Wales,11,0.0,24.0,8.8,9.3,0.0,1.0,7.0,0.0,0.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,second-row,False,0.0,True,2.5806451612903225,9.3,2.5806451612903225,24.0,24.0,24.0
Dafydd Jenkins,682,Wales,11,10.0,14.0,9.4,9.2,0.0,2.0,11.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,second-row,True,1.0638297872340425,True,1.5217391304347827,9.2,1.3043478260869565,24.0,24.0,12.0
George Horne,190,Scotland,9,2.1,6.7,9.0,9.2,0.0,2.0,4.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scrum-half,True,0.23333333333333334,True,0.7282608695652175,9.2,0.47826086956521746,8.8,8.8,4.4
Jack Walker,684,England,13,0.0,5.5,8.8,9.1,0.0,1.0,3.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hooker,False,0.0,True,0.6043956043956045,9.1,0.6043956043956045,5.5,5.5,5.5
Pierre Bruno,392,Italy,6,15.2,5.4,9.2,9.0,0.0,2.0,6.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,back-three,True,1.6521739130434783,True,0.6000000000000001,9.0,1.1444444444444446,20.6,20.6,10.3
Tom Dunn,224,England,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hooker,False,,False,,0.0,,0.0,0.0,
Dan Cole,134,England,12,1.0,6.7,8.9,9.0,0.0,2.0,3.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,front-row,True,0.11235955056179775,True,0.7444444444444445,9.0,0.4277777777777778,7.7,7.7,3.85
Gaetan Barlot,380,France,13,12.9,5.6,8.6,8.9,0.0,2.0,6.0,1.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hooker,True,1.5,True,0.6292134831460674,8.9,1.0393258426966292,18.5,18.5,9.25
Stephen Varney,281,Italy,9,9.4,12.0,8.9,8.9,0.0,2.0,3.0,1.0,0.0,22.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,scrum-half,True,1.0561797752808988,True,1.348314606741573,8.9,1.2022471910112358,21.4,21.4,10.7
Caolin Blade,961,Ireland,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scrum-half,False,,False,,0.0,,0.0,0.0,
Rhys Davies,678,Wales,11,0.0,1.2,8.8,8.8,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,second-row,False,0.0,True,0.13636363636363635,8.8,0.13636363636363635,1.2,1.2,1.2
Rhys Patchell,266,Wales,8,0.0,4.6,8.8,8.8,0.0,1.0,1.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fly-half,False,0.0,True,0.5227272727272726,8.8,0.5227272727272726,4.6,4.6,4.6
Marco Riccioni,168,Italy,12,0.0,25.0,7.9,8.8,0.0,1.0,7.0,0.0,0.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,front-row,False,0.0,True,2.840909090909091,8.8,2.840909090909091,25.0,25.0,25.0
Pietro Ceccarelli,167,Italy,12,2.4,0.0,8.9,8.8,0.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,front-row,True,0.2696629213483146,False,0.0,8.8,0.2727272727272727,2.4,2.4,2.4
Jack Crowley,705,Ireland,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fly-half,False,,False,,0.0,,0.0,0.0,
Ben Healy,695,Scotland,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fly-half,False,,False,,0.0,,0.0,0.0,
Dave Cherry,691,Scotland,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hooker,False,,False,,0.0,,0.0,0.0,
Tommy Freeman,368,England,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,back-three,False,,False,,0.0,,0.0,0.0,
Sam Skinner,246,Scotland,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,back-row,False,,False,,0.0,,0.0,0.0,
Clement Castets,253,France,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,front-row,False,,False,,0.0,,0.0,0.0,
Craig Casey,327,Ireland,9,9.8,6.2,8.4,8.5,0.0,2.0,2.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,scrum-half,True,1.1666666666666667,True,0.7294117647058824,8.5,0.9411764705882353,16.0,16.0,8.0
Leon Brown,156,Wales,12,0.0,9.6,7.9,8.3,0.0,1.0,1.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,front-row,False,0.0,True,1.1566265060240963,8.3,1.1566265060240963,9.6,9.6,9.6
Simon Berghan,97,Scotland,12,10.2,0.0,8.4,8.3,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,front-row,True,1.2142857142857142,False,0.0,8.3,1.2289156626506021,10.2,10.2,10.2
Edoardo Iachizzi,959,Italy,10,1.8,5.2,8.0,8.2,0.0,2.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,back-row,True,0.225,True,0.6341463414634148,8.2,0.426829268292683,7.0,7.0,3.5
Baptiste Couilloud,255,France,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scrum-half,False,,False,,0.0,,0.0,0.0,
Alexandre Roumat,238,France,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,second-row,False,,False,,0.0,,0.0,0.0,
Jamie Bhatti,101,Scotland,12,4.8,4.6,8.1,8.2,0.0,2.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,front-row,True,0.5925925925925926,True,0.5609756097560976,8.2,0.573170731707317,9.399999999999999,9.399999999999999,4.699999999999999
Federico Zani,166,Italy,12,1.8,3.4,8.0,8.0,0.0,2.0,1.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,front-row,True,0.225,True,0.425,8.0,0.325,5.2,5.2,2.6
